'time', 'timestamp', 'endpoint', 'object', 'instance', 'resource', 'value'
2021-05-06 21:16:20.548443+01,1620332180,t91-jak,3304,0,5700,31.272998809814453
2021-05-06 21:16:20.32405+01,1620332180,t91-jak,3303,0,5700,6.669999599456787
2021-05-06 21:16:19.984553+01,1620332180,t91-jak,3300,4,5700,1070638016
2021-05-06 21:16:14.711493+01,1620332174,t91-jak,3300,3,5700,1093120640
2021-05-06 21:16:09.288267+01,1620332169,t91-jak,3300,2,5700,1092448896
2021-05-06 21:16:03.665756+01,1620332163,t91-jak,3300,0,5700,166045.0
2021-05-06 21:15:49.670843+01,1620332149,t91-jak,3304,0,5700,31.391998291015625
2021-05-06 21:15:49.364561+01,1620332149,t91-jak,3303,0,5700,6.609999656677246
2021-05-06 21:15:49.032347+01,1620332149,t91-jak,3300,4,5700,1070638016
2021-05-06 21:15:43.69061+01,1620332143,t91-jak,3300,3,5700,1093120640
2021-05-06 21:15:38.390141+01,1620332138,t91-jak,3300,2,5700,1092448896
2021-05-06 21:15:33.030798+01,1620332133,t91-jak,3300,0,5700,219821.0
2021-05-06 21:03:49.859107+01,1620331429,t91-jak,3304,0,5700,29.19999885559082
2021-05-06 21:03:49.602035+01,1620331429,t91-jak,3303,0,5700,7.819999694824219
2021-05-06 21:03:49.346893+01,1620331429,t91-jak,3300,4,5700,1070638016
2021-05-06 21:03:44.067858+01,1620331424,t91-jak,3300,3,5700,1097809024
2021-05-06 21:03:38.809214+01,1620331416,t91-jak,3300,2,5700,1092448896
2021-05-06 21:03:31.033493+01,1620331411,t91-jak,3300,0,5700,167377.0
2021-05-06 21:03:15.826895+01,1620331395,t91-jak,3304,0,5700,29.316999435424805
2021-05-06 21:03:15.515685+01,1620331395,t91-jak,3303,0,5700,7.159999847412109
2021-05-06 21:03:15.29106+01,1620331395,t91-jak,3300,4,5700,1070638016
2021-05-06 21:03:09.987924+01,1620331390,t91-jak,3300,3,5700,1093120640
2021-05-06 21:03:04.655182+01,1620331384,t91-jak,3300,2,5700,1092448896
2021-05-06 21:02:59.112631+01,1620331379,t91-jak,3300,0,5700,210648.0
2021-05-06 20:51:47.913529+01,1620330706,t91-jak,3304,0,5700,27.406999588012695
2021-05-06 20:51:47.525514+01,1620330706,t91-jak,3303,0,5700,7.599999904632568
2021-05-06 20:51:47.181637+01,1620330706,t91-jak,3300,4,5700,1070638016
2021-05-06 20:51:41.930488+01,1620330700,t91-jak,3300,3,5700,1101233792
2021-05-06 20:51:36.633009+01,1620330695,t91-jak,3300,2,5700,1092448896
2021-05-06 20:51:31.190787+01,1620330690,t91-jak,3300,0,5700,162646.0
2021-05-06 20:51:22.156692+01,1620330681,t91-jak,3304,0,5700,27.645999908447266
2021-05-06 20:51:21.914126+01,1620330678,t91-jak,3303,0,5700,7.409999847412109
2021-05-06 20:51:18.711758+01,1620330677,t91-jak,3300,4,5700,1070638016
2021-05-06 20:51:13.352124+01,1620330672,t91-jak,3300,3,5700,1101509248
2021-05-06 20:51:07.84536+01,1620330666,t91-jak,3300,2,5700,1092448896
2021-05-06 20:51:02.311449+01,1620330661,t91-jak,3300,0,5700,221752.0
2021-05-06 20:39:31.521001+01,1620329971,t91-jak,3304,0,5700,26.608999252319336
2021-05-06 20:39:31.207862+01,1620329971,t91-jak,3303,0,5700,8.6899995803833
2021-05-06 20:39:30.865619+01,1620329970,t91-jak,3300,4,5700,1070638016
2021-05-06 20:39:25.52597+01,1620329965,t91-jak,3300,3,5700,1093120640
2021-05-06 20:39:20.153481+01,1620329960,t91-jak,3300,2,5700,1092448896
2021-05-06 20:39:14.471726+01,1620329954,t91-jak,3300,0,5700,176962.0
2021-05-06 20:38:59.028059+01,1620329939,t91-jak,3304,0,5700,26.716999053955078
2021-05-06 20:38:58.790502+01,1620329938,t91-jak,3303,0,5700,7.989999771118164
2021-05-06 20:38:58.488508+01,1620329938,t91-jak,3300,4,5700,1070638016
2021-05-06 20:38:53.191981+01,1620329933,t91-jak,3300,3,5700,1097809024
2021-05-06 20:38:47.764961+01,1620329927,t91-jak,3300,2,5700,1092448896
2021-05-06 20:38:42.388232+01,1620329922,t91-jak,3300,0,5700,218795.0
2021-05-06 20:29:23.193647+01,1620329362,t91-jak,3304,0,5700,26.389999389648438
2021-05-06 20:29:22.944222+01,1620329361,t91-jak,3303,0,5700,8.84999942779541
2021-05-06 20:29:22.713347+01,1620329361,t91-jak,3300,4,5700,1070638016
2021-05-06 20:29:17.198582+01,1620329356,t91-jak,3300,3,5700,1097809024
2021-05-06 20:29:11.797733+01,1620329350,t91-jak,3300,2,5700,1092448896
2021-05-06 20:29:06.38677+01,1620329345,t91-jak,3300,0,5700,168221.0
2021-05-06 20:28:51.288017+01,1620329330,t91-jak,3304,0,5700,26.581998825073242
2021-05-06 20:28:50.954256+01,1620329329,t91-jak,3303,0,5700,8.049999237060547
2021-05-06 20:28:50.632784+01,1620329329,t91-jak,3300,4,5700,1070638016
2021-05-06 20:28:45.272307+01,1620329324,t91-jak,3300,3,5700,1093120640
2021-05-06 20:28:39.911138+01,1620329318,t91-jak,3300,2,5700,1092448896
2021-05-06 20:28:34.472019+01,1620329313,t91-jak,3300,0,5700,199142.0
2021-05-06 20:18:39.431528+01,1620328718,t91-jak,3304,0,5700,25.706998825073242
